Publication Number,Title,Priority Date,Publication Date,Primary Layer,Secondary Layers,Autonomy Signal,Matched Keywords,Autonomy Terms,Abstract
JP2025149102A,"Work machine, work machine system, and work machine control method",2024-03-26,2025-10-08,L1 Perception,,N,[strong]object detection,,"A work machine, a work machine system, and a work machine control method are provided that can easily and appropriately respond to erroneous object detection when traveling at high speeds under automatic braking control.[Solution] A vehicle body 1 is capable of traveling. A vehicle speed sensor 24 detects the speed of the vehicle body 1. A forward/reverse switching device 53 switches the traveling"
AU2024261458A1,"DETECTION SYSTEM, DETECTION METHOD, AND WORK VEHICLE",2024-04-23,2025-10-02,L1 Perception,,N,[strong]point cloud | [strong]object detection,,"This detection system comprises a three-dimensional sensor 11 that is attached to a work vehicle and detects an object existing around the work vehicle, and a controller 20. The controller 20 includes a detection unit 25 that detects an obstacle and dust separately on the basis of object detection data obtained from the three-dimensional sensor 11. The object detection data from the three-dimensio"
JP2026032354A,"Surrounding area monitoring system for work machine, work machine, and surrounding area monitoring method for work machine",2024-08-13,2026-02-26,L1 Perception,,N,[strong]object detection,,"To properly set the operation mode of an alarm device.[Solution] A work machine periphery monitoring system includes an object detection device capable of detecting objects in the periphery of the work machine, an alarm device arranged to output an alarm to an operator operating the work machine, and a processor. The processor sets the operation mode of the alarm device to an enabled mode that ena"
JP2026059581A,Display system and display method for work machines,2024-09-26,2026-04-07,L1 Perception,,N,[strong]surroundings? (monitoring|recognition|detection),,"[Problem] To display the surrounding conditions of a work machine in a way that makes them easy to check.[Solution] The work machine display system 1 includes a plurality of cameras 11 that acquire the surrounding conditions of the hydraulic excavator 100, an image processing unit 21 that generates an overhead view image 200 based on the images captured by the plurality of cameras 11, a surroundin"
US2025382774A1,WORK MACHINE AND METHOD FOR CONTROLLING WORK MACHINE,2025-08-29,2025-12-18,L1 Perception,,N,[strong]obstacle detection,,A system is provided for controlling a work machine including a vehicle body including a traveling unit. The system includes a controller. The controller is configured to detect an inclination angle of the vehicle body using an inclination angle sensor configured to detect the inclination angle of the vehicle body. The controller is configured to disable automatic brake control for braking the tra
WO2026088735A1,WORK MACHINE AND DIAGNOSTIC METHOD,2025-09-30,2026-04-30,L2 Localisation,,Y,[strong]self[- ]position,self[- ]position,"<p num=""0000"">This work machine comprises an obstacle sensor, a position sensor that detects the self-position, and a processor. The processor acquires an other-vehicle position indicating the position of another vehicle traveling in a work site, and diagnoses the obstacle sensor on the basis of detection data of the obstacle sensor, the self-position, and the other-vehicle position.<img file=""WO2"
WO2024176867A1,"WORK MACHINE-INCLUDING SYSTEM, WORK MACHINE CONTROLLER, AND WORK MACHINE PATH GENERATION METHOD",2024-02-09,2024-08-29,L3 Path Planning,L4 Grade Control,Y,[strong]path generation | [weak+aut]excavat | [weak+aut]machine control,automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat),"<p num=""0000"">The present invention suitably sets a travel path for automatically controlled excavation and loading work. Objects around a work machine body include an excavation target (200) that is a mound of material to be excavated by work machinery. A controller for generating a travel path for a travel body recognizes the excavation target (200) on the basis of sensor detection results, sele"
WO2024176868A1,"WORK MACHINE-INCLUDING SYSTEM, WORK MACHINE CONTROLLER, AND WORK MACHINE PATH GENERATION METHOD",2024-02-09,2024-08-29,L3 Path Planning,L4 Grade Control,Y,[strong]path generation | [weak+aut]excavat | [weak+aut]machine control,automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat),"<p num=""0000"">The present invention suitably sets a travel path for automatically controlled excavation and loading work. Objects around a work machine body include: an excavation target (200) that is a mound of material to be excavated by work machinery; and a loading target (300) that is to be loaded with the material. A controller for generating a travel path for a travel body recognizes the lo"
WO2025187288A1,"SYSTEM INCLUDING WORK MACHINE, WORK MACHINE, AND AUTOMATIC CONTROL METHOD FOR WORK MACHINE",2024-03-04,2025-09-12,L4 Grade Control,,Y,[weak+aut]excavat | [weak+aut]work implement,automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat),"<p num=""0000"">This system including a work machine executes automatic work in which a series of work for excavating an object to be excavated and loading the excavated object into an object to be loaded is automated. A wheel loader (1) comprises a traveling device (4) and a work implement (3). A reception unit (150a) of the wheel loader (1) receives a work start signal from the outside of the whee"
WO2025187511A8,"SYSTEM INCLUDING WORK MACHINE, WORK MACHINE, AND AUTOMATIC TRAVEL CONTROL METHOD FOR WORK MACHINE",2024-03-04,2025-10-02,L4 Grade Control,,Y,[weak+aut]excavat,automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat),"<p num=""0000"">This system including a work machine executes automatic work in which a series of work for excavating an object (200) to be excavated and loading the excavated object into an object (300) to be loaded is automated. A wheel loader (1) has a position information acquisition device (112) and an automation controller (100). The position information acquisition device (112) detects a curr"
