Publication Number,Title,Priority Date,Publication Date,Primary Layer,Secondary Layers,Autonomy Signal,Matched Keywords,Autonomy Terms,Abstract
US12631008B2,Container load assist system and method for a work vehicle,2024-03-01,2026-05-19,L1 Perception,,N,[strong]\bperception\b,,"A system includes a work vehicle, user interface, and controller. The work vehicle includes a frame, boom, implement, perception sensor, and ground speed sensor. The perception sensor senses an approaching environment. The user interface includes controls and indicators. The controller is coupled to the controls, indicators, perception sensor, and ground speed sensor. The controller receives a com"
CA3263316A1,WORK MACHINE AND METHOD FOR OBJECT DETECTION INCLUDING IDENTIFYING AND IGNORING A MOVEABLE WORK IMPLEMENT,2024-03-18,2025-10-31,L1 Perception,,N,[strong]object detection,,
AU2025201292A1,Blade detection avoidance for an excavator with ultrasonic systems,2024-03-26,2025-10-16,L1 Perception,,N,[strong]object detection,,"#$%^&amp;*AU2025201292A120251016.pdf##### 129742827v1 DEE05-41110 Deere Ref. No. P33616-US-PRI 24 Abstract 1 A work machine includes an upper frame rotatably assembled with a lower frame via a 2 rotary joint. A blade is assembled with the lower frame. A controller operably coupled with one 3 of the upper or lower frames, or the blade, wherein the controller includes a memory having 4 instructions "
US12516499B1,System and method for predictively mitigating the impacts of travel across uneven terrain by a work machine,2024-06-25,2026-01-06,L1 Perception,,N,[strong]\bperception\b,,"Systems and methods are provided for predictively mitigating the impacts of travel across uneven terrain by a work machine having an implement for carrying load and capable of movement relative to the work machine frame. During a current operation, inputs are collected from perception sensors corresponding to terrain characteristics in at least a forward travel direction, from position sensors cor"
US12516499B2,System and method for predictively mitigating the impacts of travel across uneven terrain by a work machine,2024-06-25,2026-01-06,L1 Perception,,N,[strong]\bperception\b,,"Systems and methods are provided for predictively mitigating the impacts of travel across uneven terrain by a work machine having an implement for carrying load and capable of movement relative to the work machine frame. During a current operation, inputs are collected from perception sensors corresponding to terrain characteristics in at least a forward travel direction, from position sensors cor"
DE102024126680A1,Procedure and system for coordinating the clearing of a work area,2024-09-17,2025-05-08,L1 Perception,,N,[strong]\bperception\b,,A method for coordinating the clearing of a work area may comprise crushing material from a work area using one or more work machines and conveying the crushed material to one or more stockpiles; automatically monitoring one or more multi-dimensional characteristics of the stockpile using one or more perception sensors and for at least a first stockpile of the one or more stockpiles; determining (
US2026170689A1,DYNAMIC PERCEPTION SYSTEM CALIBRATION,2024-12-17,2026-06-18,L1 Perception,,N,[strong]\bperception\b,,"A system includes: a perception system associated with a work machine and configured to capture an image indicative of one or more characteristics; a perception pose actuator controllable to change a pose of the perception sensor during operation of the work machine; one or more processors; and memory storing instructions, executable by the one or more processors. The instructions, when executed b"
DE102025102036A1,CONTROL OF WORK MACHINE EQUIPMENT FOR AUTONOMOUS UNDERGROUND SURVEYING AND MARKING APPLICATIONS,2025-01-21,2025-10-09,L1 Perception,,Y,[weak+aut]\bradar\b,autonom,"A work machine includes or is otherwise associated with a subsurface monitoring sensor, such as a ground penetrating radar, an electromagnetic locator, etc. During an underground monitoring process, the movements of the work machine can be carried out according to a defined traffic plan, e.g. B. in connection with electronic work area maps. A control device for the work machine, a remote server or"
AU2025201030A1,Work machine and method for object detection including identifying and ignoring a moveable work implement,2025-02-14,2025-10-02,L1 Perception,,N,[strong]object detection | [strong]\bperception\b,,"#$%^&amp;*AU2025201030A120251002.pdf##### Docket No. P36313-US-PRI Customer No. 161609 34 ABSTRACT OF THE DISCLOSURE A work method and method provide intervention feedback based on spatially proximate objects in a work area. The work machine includes perception sensors and a work implement. During a calibration stage, the implement is moved to various positions across an available range of movemen"
US12578015B1,Dynamic transmission disengagement for a vehicle based on current conditions in a work cycle,2025-04-15,2026-03-17,L1 Perception,,N,[strong]\bperception\b,,"The present disclosure relates to a computer-implemented method for selectively enabling transmission state disengagement in a transport vehicle equipped with a transmission operable among multiple states. The method involves receiving signals from various sources: a propulsion control unit indicating powertrain speed, perception sensors providing the vehicle's position relative to a work area, or"
