Publication Number,Title,Priority Date,Publication Date,Primary Layer,Secondary Layers,Autonomy Signal,Matched Keywords,Autonomy Terms,Abstract
AU2024326376A1,"IMAGE PROCESSING METHOD AND APPARATUS, DEMOLITION ROBOT, AND COMPUTER-READABLE STORAGE MEDIUM",2024-03-27,2025-10-16,L1 Perception,,N,[strong]point cloud,,"The present disclosure relates to the technical field of computers, and relates to an image processing method and apparatus, and a demolition robot and a computer-readable storage medium. The image processing method comprises: performing image segmentation processing on an image to be processed of a current operation scene, so as to acquire a plurality of image regions in said image, wherein diffe"
US2025354355A1,"CONTROL SYSTEM, CONTROL METHOD AND MACHINE, STORAGE MEDIUM AND PROGRAM PRODUCT",2024-04-07,2025-11-20,L1 Perception,,N,[strong]\bperception\b,,"The present disclosure provides a control system, a control method and machine, a storage medium and a program product. The control system includes: an environment perception module configured to output perception result information based on environment information and/or control result information, and adjust own state based on a system adjustment instruction; a decision-making planning module co"
RU2839251C1,METHOD AND SYSTEM FOR SEGMENTING MATERIAL FOR BUILDING COLLAPSE SCENARIOS,2024-05-15,2025-04-28,L1 Perception,,N,[strong]semantic segmentation,,FIELD: building demolition equipment.SUBSTANCE: group of inventions relates to the field of building demolition equipment and can be used for the material segmentation for building destruction scenarios. Method comprises steps of: inputting the image of the target building destruction scenario to be segmented into the trained building destruction scenario material segmentation model to obtain the 
CN118687553A,"Point cloud map construction method and system, domain controller and excavator, storage medium",2024-06-03,2024-09-24,L1 Perception,,N,[strong]point cloud,,"The present disclosure relates to a point cloud map construction method and system, a domain controller, an excavator, and a storage medium. The point cloud map construction method includes: receiving laser radar point cloud data and turntable attitude sensor data in the excavator rotation operation scene; extracting the boom point cloud data in the laser radar on-board coordinate system, obtainin"
CN118603113A,"Unmanned vehicle route planning method, device, system and unmanned vehicle",2024-06-11,2024-09-06,L1 Perception,L3 Path Planning,Y,[strong]point cloud | [strong]\bperception\b | [strong]route planning,"unmanned, automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat)","The present disclosure relates to a route planning method, device, system and unmanned vehicle for an unmanned vehicle, and is a field of automatic control technology. The route planning method for an unmanned vehicle includes: receiving a first point cloud map from an unmanned aerial vehicle; generating a first grid map based on the first point cloud map, and generating a first route for the unma"
CN118823123A,"Point cloud data processing method, device, excavator, storage medium and product",2024-07-25,2024-10-22,L1 Perception,,N,[strong]point cloud,,"The present disclosure relates to a point cloud data processing method, device, excavator, storage medium and product, and relates to the field of data processing technology. The point cloud data processing method includes: removing the point cloud data of the fixed parts of the excavator in the first point cloud data to obtain the second point cloud data, wherein the first point cloud data is obt"
CN119085669A,"Point cloud map updating method and system, domain controller and excavator, storage medium",2024-08-28,2024-12-06,L1 Perception,,N,[strong]point cloud,,"The present disclosure relates to a point cloud map updating method and system, a domain controller, an excavator, and a storage medium. The point cloud map updating method includes: constructing a point cloud map of the excavator rotation operation scene according to the laser radar point cloud data and the turntable attitude sensor data; dividing the point cloud map into multiple areas; determin"
CN119295930A,A method for selecting excavation points of an unmanned loader based on laser radar and its system and equipment,2024-09-29,2025-01-10,L1 Perception,L3 Path Planning; L4 Grade Control,Y,[strong]point cloud | [weak+aut]\bradar\b | [strong]path planning | [weak+aut]excavat,unmanned,"The present invention discloses a method for selecting shoveling points for unmanned loaders based on laser radar, and its system and equipment, which relate to the technical field of unmanned engineering machinery, and aim to solve the problems of low efficiency, high cost and potential safety hazards faced by the traditional manual shoveling method of loaders in the prior art, and comprises obta"
CN119268676A,"Point cloud map construction method and system, domain controller and excavator",2024-10-21,2025-01-07,L1 Perception,,N,[strong]point cloud,,"The present disclosure provides a point cloud map construction method and system, a domain controller and an excavator. The point cloud map construction method includes: when the excavator turntable is in a stationary state, a first point cloud map is constructed according to the point cloud data collected by the laser radar and the posture data collected by the turntable posture sensor, and a sta"
CN119663924A,A multi-degree-of-freedom boom limit control system and method for operating equipment,2024-11-25,2025-03-21,L1 Perception,,N,[strong]sensor fusion,,"The present invention discloses a multi-degree-of-freedom boom limit control system and method for operating equipment, which belongs to the technical field of emergency rescue equipment. It includes a power cabin arranged on a crawler chassis, the power cabin is provided with a boom for realizing material suction positioning, the power cabin is provided with a control unit for controlling the exe"
